,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,-27.57,-0.55,1,-0.55,sh600000,
1,sh600000-2,-10.07,-0.2,1,-0.2,sh600000,
2,sh600000-3,-50.7,-1.02,1,-1.02,sh600000,
3,sh600000-4,-67.0,-1.35,8,-0.17,sh600000,
4,sh600000-5,-57.56,-1.17,3,-0.39,sh600000,
5,sh600000-6,247.2,5.05,14,0.36,sh600000,
6,sh600000-7,219.71,4.4,10,0.44,sh600000,
7,sh600000-8,-221.49,-4.32,3,-1.44,sh600000,
8,sh600000-9,-44.04,-0.88,16,-0.06,sh600000,
9,sh600000-10,-49.34,-0.99,5,-0.2,sh600000,
10,sh600000-11,-46.43,-0.93,3,-0.31,sh600000,
11,sh600000-12,-56.79,-1.15,1,-1.15,sh600000,
12,sh600000-13,-52.49,-1.07,1,-1.07,sh600000,
13,sh600000-14,182.53,3.74,9,0.42,sh600000,
14,sh600004-16,-93.45,-1.87,1,-1.87,sh600004,
15,sh600004-17,-381.46,-7.79,2,-3.9,sh600004,
16,sh600004-18,206.42,4.32,11,0.39,sh600004,
17,sh600004-19,-138.44,-2.85,1,-2.85,sh600004,
18,sh600004-20,88.73,1.85,4,0.46,sh600004,
19,sh600004-21,-272.52,-5.58,2,-2.79,sh600004,
20,sh600004-22,-85.2,-1.83,1,-1.83,sh600004,
21,sh600004-23,299.77,5.85,8,0.73,sh600004,
22,sh600004-24,-132.92,-2.76,5,-0.55,sh600004,
23,sh600004-25,-29.51,-0.63,1,-0.63,sh600004,
24,sh600004-26,-34.85,-0.74,1,-0.74,sh600004,
25,sh600004-27,-59.32,-1.26,4,-0.32,sh600004,
26,sh600004-28,-81.69,-1.74,2,-0.87,sh600004,
27,sh600004-29,-205.69,-4.45,5,-0.89,sh600004,
28,sh600004-30,-28.92,-0.64,2,-0.32,sh600004,
29,sh600004-31,-78.44,-1.73,6,-0.29,sh600004,
30,sh600004-32,-86.13,-1.93,2,-0.96,sh600004,
31,sh600004-33,18.61,0.42,8,0.05,sh600004,
32,sh600004-34,-32.18,-0.72,4,-0.18,sh600004,
33,sh600004-35,-33.15,-0.75,5,-0.15,sh600004,
34,sh600004-36,206.85,4.68,2,2.34,sh600004,
35,sh600004-37,-456.25,-10.17,2,-5.08,sh600004,
36,sh600004-38,-149.87,-3.51,3,-1.17,sh600004,
37,sh600004-39,734.12,17.23,10,1.72,sh600004,
38,sh600004-40,-84.22,-1.86,4,-0.47,sh600004,
39,sh600004-41,-236.61,-5.2,2,-2.6,sh600004,
40,sh600006-42,393.4,7.87,20,0.39,sh600006,
41,sh600006-43,374.72,7.21,5,1.44,sh600006,
42,sh600006-44,-225.21,-4.22,4,-1.05,sh600006,
43,sh600006-45,718.67,14.35,12,1.2,sh600006,
44,sh600006-46,-239.47,-4.24,4,-1.06,sh600006,
45,sh600006-47,-163.19,-2.96,1,-2.96,sh600006,
46,sh600006-48,-554.32,-9.71,3,-3.24,sh600006,
47,sh600006-49,263.23,5.18,5,1.04,sh600006,
48,sh600006-50,-305.73,-5.82,4,-1.46,sh600006,
49,sh600006-51,-30.92,-0.6,6,-0.1,sh600006,
50,sh600006-52,-252.7,-4.94,2,-2.47,sh600006,
51,sh600006-53,-84.48,-1.71,1,-1.71,sh600006,
52,sh600006-54,-105.54,-2.13,1,-2.13,sh600006,
53,sh600006-55,38.27,0.78,1,0.78,sh600006,
54,sh600006-56,-106.56,-2.17,2,-1.08,sh600006,
55,sh600006-57,-197.65,-4.07,4,-1.02,sh600006,
56,sh600006-58,330.64,6.96,5,1.39,sh600006,
57,sh600006-59,-140.55,-2.88,1,-2.88,sh600006,
58,sh600007-60,-153.59,-3.13,3,-1.04,sh600007,
59,sh600007-61,66.17,1.35,5,0.27,sh600007,
60,sh600007-62,244.58,4.88,7,0.7,sh600007,
61,sh600007-63,-31.36,-0.62,6,-0.1,sh600007,
62,sh600007-64,-14.38,-0.29,1,-0.29,sh600007,
63,sh600007-65,-92.58,-1.83,14,-0.13,sh600007,
64,sh600007-66,146.14,2.91,6,0.49,sh600007,
65,sh600007-67,213.32,4.22,3,1.41,sh600007,
66,sh600007-68,89.94,1.73,9,0.19,sh600007,
67,sh600007-69,551.5,10.57,3,3.52,sh600007,
68,sh600007-70,-209.21,-3.8,1,-3.8,sh600007,
69,sh600007-71,104.49,1.92,4,0.48,sh600007,
70,sh600008-73,-34.69,-0.69,1,-0.69,sh600008,
71,sh600008-74,557.34,11.19,19,0.59,sh600008,
72,sh600008-75,-47.29,-0.9,2,-0.45,sh600008,
73,sh600008-76,-71.75,-1.37,5,-0.27,sh600008,
74,sh600008-77,-36.75,-0.71,1,-0.71,sh600008,
75,sh600008-78,-273.27,-5.27,22,-0.24,sh600008,
76,sh600008-79,423.32,8.33,12,0.69,sh600008,
77,sh600008-80,53.49,1.02,5,0.2,sh600008,
78,sh600008-81,-36.33,-0.69,1,-0.69,sh600008,
79,sh600008-82,-17.0,-0.32,1,-0.32,sh600008,
80,sh600008-83,-79.87,-1.52,2,-0.76,sh600008,
81,sh600008-84,0.0,0.0,3,0.0,sh600008,
82,sh600008-85,70.8,1.37,2,0.69,sh600008,
83,sh600009-87,-193.25,-3.85,10,-0.39,sh600009,
84,sh600009-88,-469.19,-9.7,7,-1.39,sh600009,
85,sh600009-89,304.38,6.46,8,0.81,sh600009,
86,sh600009-90,262.32,5.5,12,0.46,sh600009,
87,sh600009-91,-99.07,-1.99,3,-0.66,sh600009,
88,sh600009-92,-120.41,-2.46,9,-0.27,sh600009,
89,sh600009-93,-171.52,-3.56,2,-1.78,sh600009,
90,sh600009-94,-23.07,-0.48,7,-0.07,sh600009,
91,sh600009-95,-683.65,-14.69,3,-4.9,sh600009,
92,sh600009-96,13.91,0.32,5,0.06,sh600009,
93,sh600009-97,-69.79,-1.58,5,-0.32,sh600009,
94,sh600009-98,-46.12,-1.05,1,-1.05,sh600009,
95,sh600009-99,-106.99,-2.46,3,-0.82,sh600009,
96,sh600009-100,188.16,4.4,4,1.1,sh600009,
97,sh600009-101,669.29,15.29,11,1.39,sh600009,
98,sh600009-102,21.58,0.45,4,0.11,sh600009,
99,sh600009-103,345.88,7.3,22,0.33,sh600009,
100,sh600009-104,-173.68,-3.54,3,-1.18,sh600009,
101,sh600009-105,-347.35,-7.26,1,-7.26,sh600009,
102,sh600009-106,-244.76,-5.31,2,-2.65,sh600009,
